,Original,Standardized
2091,"Heart; Dysfunction Postoperative, Cardiac Surgery",Postoperative Cardiac Dysfunction
2092,Uterine Cervical Neoplasms,Uterine Cervical Neoplasms
2093,To Determine Bioequivalence Under Fasting Conditions,Bioequivalence Study
2094,Asthma; Acute Asthma,Asthma
2095,Metastatic Gastric Adenocarcinoma; Second Line; Chemotherapy,Gastric and Gastroesophageal Junction Cancer
2096,"Metastatic Prostate Cancer; Therapy, Directly Observed",Metastatic Prostate Cancer
2097,Triple Negative Breast Cancer; Breast Cancer Stage II; Breast Cancer Stage III; Breast Cancer; Early Stage Triple-Negative Breast Carcinoma; Breast Neoplasms; Breast Carcinoma,Triple Negative Breast Cancer
2098,Myositis; Myasthaenia Gravis; Neuropathy; Guillain Barré Syndrome; Parsonage Turner Syndrome,Neuromuscular Disorders
2099,Metastatic Gastric Cancer; Locally Advanced Gastric Adenocarcinoma; Gastric Cancer Adenocarcinoma Metastatic,Metastatic Gastric Cancer; Locally Advanced Gastric Adenocarcinoma; Gastric Cancer Adenocarcinoma Metastatic
2100,"Lymphoma; Small Intestine Cancer; Unspecified Adult Solid Tumor, Protocol Specific","Lymphoma; Small Intestine Cancer; Unspecified Adult Solid Tumor, Protocol Specific"
2101,HIV Infection; HIV Infections,HIV Infection
2102,ALS,Amyotrophic Lateral Sclerosis (ALS)
2103,Cold Water Immersion; Immune Function; Muscular Strength; Mental Health,Cold Water Immersion Effects
2104,Vaginal Disease,Vaginal Disease
2105,Myocardial Stunning,Myocardial Stunning
2106,Vaccination,Vaccination
2107,HIV Infection; Tuberculosis,HIV with Tuberculosis
2108,Type 2 Diabetes; Obesity,Type 2 Diabetes with Obesity
2109,"Malaria, Vivax",Vivax Malaria
2110,Metastatic Hormone-Sensitive Prostate Cancer (mHSPC),Metastatic Hormone-Sensitive Prostate Cancer
2111,MDS; AML,MDS; AML
2112,Type 2 Diabetes; Metabolically Healthy Controls,Type 2 Diabetes
2113,Multiple Sclerosis; Healthy,Multiple Sclerosis; Healthy
2114,COVID-19 Pandemic,COVID-19 Pandemic
2115,Hemorrhoids; Fissure in Ano; Fistula;Rectal,Anorectal Disorders
2116,AML (Acute Myelogenous Leukemia); Acute Lymphoid Leukemia (ALL); Acute Leukemia (Category); MDS (Myelodysplastic Syndrome); CML (Chronic Myelogenous Leukemia); CLL (Chronic Lymphocytic Leukemia); Prolymphocyctic Leukemia; Chronic Myelomonocytic Leukemia (CMML); Myeloproliferative Neoplasm (MPN); Lymphoma; Myelofibrosis,Leukemia and Myeloproliferative Disorders
2117,"Myeloma, Multiple","Myeloma, Multiple"
2118,B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1,B Acute Lymphoblastic Leukemia With BCR-ABL1
2119,B Acute Lymphoblastic Leukemia,B Acute Lymphoblastic Leukemia
2120,Asthma; Obesity,Asthma with Obesity
2121,Colorectal Neoplasms; Aged,Colorectal Neoplasms
2122,Acquired Immune Deficiency Syndrome (AIDS); HIV Infections,HIV Infections/AIDS
2123,Chronic Thromboembolic Pulmonary Hypertension,Chronic Thromboembolic Pulmonary Hypertension
2124,Cancer Prevention,Cancer Prevention
2125,Metastatic ER+ Her2- Breast Cancer; Postmenopausal,Metastatic ER+ Her2- Breast Cancer; Postmenopausal
2126,Tubal Patency,Tubal Patency
2127,Metastatic Colorectal Carcinoma; Stage IV Colorectal Cancer AJCC v8; Stage IVA Colorectal Cancer AJCC v8; Stage IVB Colorectal Cancer AJCC v8; Stage IVC Colorectal Cancer AJCC v8; Unresectable Carcinoma,Metastatic Colorectal Carcinoma; Stage IV Colorectal Cancer AJCC v8; Stage IVA Colorectal Cancer AJCC v8; Stage IVB Colorectal Cancer AJCC v8; Stage IVC Colorectal Cancer AJCC v8; Unresectable Carcinoma
2128,Multiple Myeloma; Primary Plasma Cell Leukemia; Extramedullary Multiple Myeloma,Extramedullary Multiple Myeloma
2129,Vascular Function; Atherothrombosis,Vascular Function and Atherothrombosis
2130,Infertility; Endometriosis,Infertility and Endometriosis
2131,Vascular Function,Vascular Function
2132,Vascular Diseases,Vascular Diseases
2133,NSCLC; BRAF V600 Mutation; MET Exon 14 Mutation,Non-Small Cell Lung Cancer with Genetic Mutations
2134,"NSCLC Stage IV; Sex Disorder; Hypogonadism, Male; Erectile Dysfunction",NSCLC with Sexual Disorders
2135,Lymphoma; Leukemia; Myeloproliferative Disorders; Multiple Myleoma; Myelodysplastic Syndrome,Lymphoma; Leukemia; Myeloproliferative Disorders; Multiple Myleoma; Myelodysplastic Syndrome
2136,Type II Diabetes in Subjects BMI 27 to 32,Type 2 Diabetes with Overweight
2137,Indolent Non-Hodgkin's Lymphoma; Chronic Lymphocytic Leukemia; Mantle Cell Lymphoma,Indolent Non-Hodgkin's Lymphoma; Chronic Lymphocytic Leukemia; Mantle Cell Lymphoma
2138,HER2-positive Advanced Gastric Cancer or Gastroesophageal Junction Adenocarcinoma,HER2-positive Gastroesophageal Cancer
2139,"Breast Cancer; Lung Cancer; Unspecified Adult Solid Tumor, Protocol Specific",Breast and Lung Cancer
2140,Metastatic Colorectal Cancer; Metastatic Cancer to Liver,Metastatic Colorectal Cancer; Metastatic Cancer to Liver
2141,Treatment-resistant Schizophrenia,Treatment-resistant Schizophrenia
2142,Chronic Urticaria,Chronic Urticaria
2143,Varicose Veins,Varicose Veins
2144,B-Cell Non-Hodgkin Lymphoma,B-Cell Non-Hodgkin Lymphoma
2145,Metastatic Colorectal Cancer; Recurrent Colorectal Cancer,Metastatic Colorectal Cancer; Recurrent Colorectal Cancer
2146,Vaping,Vaping
2147,Healthy Subjects; Obesity; Type 2 Diabetes,Obesity and Type 2 Diabetes
2148,Multiple Myeloma; Relapsed and/or Refractory Multiple Myeloma,Multiple Myeloma; Relapsed and/or Refractory Multiple Myeloma
2149,Trichuris Trichiura; Infection; Hookworm Infection; Ascaris Lumbricoides Infection,Parasitic Infections
2150,Urinary System Tumor,Urinary System Tumor
2151,Colorectal Cancer; Metastasis; Liver Cancer,Colorectal Cancer with Liver Metastasis
2152,HER2-positive Breast Cancer; Postmenopausal; Metastatic Breast Cancer,HER2-positive Breast Cancer; Postmenopausal; Metastatic Breast Cancer
2153,Cancer Patients,Cancer Patients
2154,NASH - Nonalcoholic Steatohepatitis,Nonalcoholic Steatohepatitis
2155,"Healthy Subjects; Infection, Human Immunodeficiency Virus","Healthy Subjects; Infection, Human Immunodeficiency Virus"
2156,Actinic Cheilitis,Actinic Cheilitis
2157,HIV Infections; HIV-Associated Lipodystrophy Syndrome,HIV Infections
2158,Candidemia,Candidemia
2159,HER2-mutant Non-Small Cell Lung Cancer,HER2-mutant Non-Small Cell Lung Cancer
2160,Malaria in Pregnancy,Malaria in Pregnancy
2161,AML; IDH1 Mutation; Treatment,Acute Myeloid Leukemia with IDH1 Mutation
2162,Hematopoietic and Lymphoid Cell Neoplasm; Malignant Solid Neoplasm,Hematopoietic and Lymphoid Cell Neoplasm; Malignant Solid Neoplasm
2163,Myelodysplastic Syndrome(MDS); Acute Myelogenous Leukemia (AML),Myeloid Neoplasms
2164,Colorectal Cancer; Peritoneal Metastasis,Colorectal Cancer; Peritoneal Metastasis
2165,Cancer of Pancreas; Unresectable Pancreatic Cancer; Chemotherapy Effect; SBRT,Cancer of Pancreas; Unresectable Pancreatic Cancer; Chemotherapy Effect; SBRT
2166,Major Depressive Disorder; Psychotic Disorders,Major Depressive Disorder with Psychotic Features
2167,Breast Cancer; Metastatic Breast Cancer; Hormone Receptor-positive Breast Cancer; HER2-negative Breast Cancer,Breast Cancer; Metastatic Breast Cancer; Hormone Receptor-positive Breast Cancer; HER2-negative Breast Cancer
2168,Metastatic Melanoma; Melanoma; BRAF-mutated Metastatic Melanoma; V600EBRAF-mutated Metastatic Melanoma,Metastatic Melanoma; Melanoma; BRAF-mutated Metastatic Melanoma; V600EBRAF-mutated Metastatic Melanoma
2169,"Infections, Human Immunodeficiency Virus and Herpesviridae",HIV and Herpesviridae Infections
2170,Urothelial Carcinoma; Renal Cell Carcinoma; Non-Small Cell Lung Cancer; Castration-resistant Prostate Cancer; Triple Negative Breast Cancer; Ovarian Cancer; Endometrial Cancer; Hepatocellular Carcinoma; Gastric Cancer; Gastroesophageal Junction Adenocarcinoma; Colorectal Cancer; Head and Neck Cancer; Differentiated Thyroid Cancer; Lower Esophageal Cancer,Multiple Advanced Carcinomas
2171,Metastatic Microsatellite Stable Colorectal Carcinoma; Refractory Microsatellite Stable Colorectal Carcinoma; Stage IV Colorectal Cancer AJCC v8,Metastatic Microsatellite Stable Colorectal Carcinoma; Refractory Microsatellite Stable Colorectal Carcinoma; Stage IV Colorectal Cancer AJCC v8
2172,Cancer; Prostate Neoplasms,Cancer; Prostate Neoplasms
2173,Metastatic Midgut Neuroendocrine Tumor; Metastatic Midgut Neuroendocrine Tumor G1; Metastatic Midgut Neuroendocrine Tumor G2; Unresectable Midgut Neuroendocrine Tumor,Metastatic Midgut Neuroendocrine Tumor
2174,HIV Seropositivity,HIV Seropositivity
2175,"Myasthenia Gravis, Generalized","Myasthenia Gravis, Generalized"
2176,Metastatic NRAS Melanoma,Metastatic NRAS Melanoma
2177,Type 2 Diabetes Mellitus; Insulin Resistance,Type 2 Diabetes Mellitus; Insulin Resistance
2178,Breast Cancer; Neutropenia,Breast Cancer with Neutropenia
2179,AML; Elderly,AML; Elderly
2180,Musculoskeletal Pain,Pain and Surgical Procedures
2181,Type 2 Diabetes Mellitus; Obesity,Type 2 Diabetes Mellitus; Obesity
2182,Atopic Dermatitis; Eczema,Atopic Dermatitis; Eczema
2183,HIV-1 Infection; Pf Subclinical Parasitemia,HIV-1 Infection; Pf Subclinical Parasitemia
2184,Colo-rectal Cancer,Colorectal Cancer
2185,Uterine Fibroids; Heavy Menstrual Bleeding,Menorrhagia
2186,HIV-1 Infection; HIV Infections,HIV-1 Infection; HIV Infections
2187,Ineligible Or Refused Transplant Patients With Classical Hodgkin Lymphoma,Classical Hodgkin Lymphoma
2188,Healthy Adult Volunteers,Healthy Adult Volunteers
2189,"Muscular Atrophy, Spinal",Spinal Muscular Atrophy
2190,HIV Infections; Weight Gain,HIV Infections and Weight Gain
2191,"Uterine Neoplasms; Uterine Cervical Neoplasms; Biliary Tract Neoplasms; Urologic Neoplasms; Carcinoma, Non-Small-Cell Lung; HER2 Mutations Breast Neoplasms",Multiple Neoplasms
2192,Induction Chemotherapy; Acute T-Lymphocytic Leukemia; T-cell Lymphoblastic Lymphoma Leukemia; T-cell/Myeloid Mixed Phenotype Acute Leukemia,T-cell Acute Leukemia/Lymphoma
2193,Myelodysplastic Syndrome; Hodgkin's Lymphoma; Non-Hodgkin's Disease; Acute Leukemia; Multiple Myeloma,Myelodysplastic Syndrome; Hodgkin's Lymphoma; Non-Hodgkin's Disease; Acute Leukemia; Multiple Myeloma
2194,"Myelogenous Leukemia, Acute",Acute Myelogenous Leukemia
2195,Tuberculosis; HIV Infections,Tuberculosis with HIV Coinfection
2196,Metastatic Kidney Medullary Carcinoma; Metastatic Renal Cell Carcinoma; SMARCB1 Negative; Stage III Renal Cell Cancer AJCC V8; Stage IV Renal Cell Cancer AJCC V8,Metastatic Kidney Medullary Carcinoma; Metastatic Renal Cell Carcinoma; SMARCB1 Negative; Stage III Renal Cell Cancer AJCC V8; Stage IV Renal Cell Cancer AJCC V8
2197,Myelodysplastic/Myeloproliferative Neoplasms; Adult,Myelodysplastic/Myeloproliferative Neoplasms; Adult
2198,Colorectal Neoplasms Malignant,Colorectal Neoplasms Malignant
2199,Myelodysplastic Syndromes; Myeloproliferative Chronic Myelomonocytic Leukemia,Myelodysplastic Syndromes; Myeloproliferative Chronic Myelomonocytic Leukemia
2200,"AML, Adult Recurrent; MDS","AML, Adult Recurrent; MDS"
2201,Multiple System Atrophy,Multiple System Atrophy
2202,Metastatic Prostate Cancer; Non-metastatic Prostate Cancer; Prostate Cancer,Metastatic Prostate Cancer; Non-metastatic Prostate Cancer; Prostate Cancer
2203,Axial Psoratic Arthritis,Axial Psoriatic Arthritis
2204,Lung Neoplasm,Lung Neoplasm
2205,HIV Infections; Lipodystrophy,HIV Infections with Lipodystrophy
2206,Awake Fiberoptic Intubation,Awake Fiberoptic Intubation
2207,Colorectal Neoplasm,Colorectal Neoplasm
2208,Hemophilia A; Hemophilia B,Hemophilia
2209,Healthy Males,Healthy Males
2210,Myelodysplastic Syndromes; Acute Myeloid Leukemia; Chronic Myelomonocytic Leukemia,Myeloid Neoplasms
2211,Breast Cancer; Metastasis,Breast Cancer; Metastasis
2212,Healthy Male and Female Subjects,Healthy Subjects
2213,Turner Syndrome,Turner Syndrome
2214,Acne Rosacea,Acne Rosacea
2215,Metastatic Lung Non-Small Cell Carcinoma; Recurrent Lung Non-Small Cell Carcinoma; Stage IV Lung Cancer AJCC v8,Metastatic Lung Non-Small Cell Carcinoma; Recurrent Lung Non-Small Cell Carcinoma; Stage IV Lung Cancer AJCC v8
2216,"AML, Adult; Minimal Residual Disease","AML, Adult; Minimal Residual Disease"
2217,Healthy Male Subjects,Healthy Male Subjects
2218,Type 1 Diabetes (T1D),Type 1 Diabetes (T1D)
2219,Type 2 Diabetes; Hypertension,Type 2 Diabetes; Hypertension
2220,Colorectal Carcinoma; Colorectal Neoplasms; Colorectal Tumor; Colorectal Adenocarcinoma; Colorectal Cancer (CRC); Colorectal Cancer; Colon Cancer; Colon Adenocarcinoma; Colon Carcinoma; Colon Neoplasm,Colorectal Carcinoma; Colorectal Neoplasms; Colorectal Tumor; Colorectal Adenocarcinoma; Colorectal Cancer (CRC); Colorectal Cancer; Colon Cancer; Colon Adenocarcinoma; Colon Carcinoma; Colon Neoplasm
2221,Myelodysplastic Syndrome; Recurrent Myelodysplastic Syndrome; Refractory Myelodysplastic Syndrome,Myelodysplastic Syndrome; Recurrent Myelodysplastic Syndrome; Refractory Myelodysplastic Syndrome
2222,Cancer of Head and Neck,Cancer of Head and Neck
2223,Nanoliposomal Irinotecan; Cadonilimab; Oxaliplatin; Capecitabine; First-Line; Advanced Cancer; Pancreatic Adenocarcinoma; Drug Use,Pancreatic Adenocarcinoma Treatment
2224,HIV; AIDS,HIV; AIDS
2225,"Lymphoma, Large-Cell, Diffuse",Diffuse Large-Cell Lymphoma
2226,Colorectal Cancer; Colorectal Liver Metastases,Colorectal Cancer; Colorectal Liver Metastases
2227,Graft-versus-host-disease; Relapse,Graft-versus-host-disease
2228,Neuroendocrine Carcinoma,Neuroendocrine Carcinoma
2229,Neurodermatitis,Neurodermatitis
2230,Gram-Positive Bacterial Infections,Gram-Positive Bacterial Infections
2231,"Carcinoma, Non-Small Cell Lung; EGFR Gene Mutation",Non-Small Cell Lung Carcinoma with EGFR Mutation
2232,Granulocytic Sarcoma; Recurrent Adult Acute Myeloid Leukemia,Acute Myeloid Leukemia with Granulocytic Sarcoma
2233,Metastatic Breast Cancer; Breast Cancer,Metastatic Breast Cancer; Breast Cancer
2234,Total Knee Replacement,Total Knee Replacement
2235,"Lymphoma, Mantle Cell; Mantle Cell Lymphoma","Lymphoma, Mantle Cell; Mantle Cell Lymphoma"
2236,Neuroblastoma; Lymphoma; High-risk Tumor,Neuroblastoma and Lymphoma
2237,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis
2238,Chronic Renal Disease,Chronic Renal Disease
2239,Metastatic Breast Cancer; ER Positive Breast Cancer; HER2-negative Breast Cancer,Metastatic Breast Cancer; ER Positive Breast Cancer; HER2-negative Breast Cancer
2240,Multiple Myeloma at First Relapse,Multiple Myeloma at First Relapse
2241,Conscious Sedation,Conscious Sedation
2242,"Arthritis, Psoriatic","Arthritis, Psoriatic"
2243,BRAF V600E Mutation,BRAF V600E Mutation
2244,Acute Biphenotypic Leukemia; de Novo Myelodysplastic Syndrome; Previously Treated Myelodysplastic Syndrome; Recurrent Adult Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia; Secondary Acute Myeloid Leukemia,Acute Biphenotypic Leukemia; de Novo Myelodysplastic Syndrome; Previously Treated Myelodysplastic Syndrome; Recurrent Adult Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia; Secondary Acute Myeloid Leukemia
2245,Toxic Epidermal Necrolysis,Toxic Epidermal Necrolysis
2246,"Acute Biphenotypic Leukemia; Acute Myeloid Leukemia; Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Blasts 10 Percent or More of Bone Marrow Nucleated Cells; Blasts 10 Percent or More of Peripheral Blood White Cells; De Novo Myelodysplastic Syndrome; Myelodysplastic Syndrome; Previously Treated Myelodysplastic Syndrome; Recurrent Acute Myeloid Leukemia; Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Refractory Acute Myeloid Leukemia; Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Secondary Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia","Acute Biphenotypic Leukemia; Acute Myeloid Leukemia; Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Blasts 10 Percent or More of Bone Marrow Nucleated Cells; Blasts 10 Percent or More of Peripheral Blood White Cells; De Novo Myelodysplastic Syndrome; Myelodysplastic Syndrome; Previously Treated Myelodysplastic Syndrome; Recurrent Acute Myeloid Leukemia; Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Refractory Acute Myeloid Leukemia; Refractory Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Secondary Acute Myeloid Leukemia; Untreated Adult Acute Myeloid Leukemia"
2247,Nephrotoxicity,Nephrotoxicity
2248,Granulomatous Mastitis,Granulomatous Mastitis
2249,Metastatic Breast Cancer; Estrogen Receptor Positive Tumor; Breast Cancer Nos Premenopausal,Metastatic Breast Cancer; Estrogen Receptor Positive Tumor; Breast Cancer Nos Premenopausal
2250,Arthritis; Cardiovascular Diseases; Cerebrovascular Disorders,Arthritis and Cardiovascular Diseases
2251,HIV; Mitochondrial Toxicity,HIV with Mitochondrial Toxicity
2252,Type2diabetes; Insulin Resistance,Type2diabetes; Insulin Resistance
2253,Nephropathic Cystinosis,Nephropathic Cystinosis
2254,"Lymphoma, Mantle-cell; CLL (Chronic Lymphocytic Leukemia); Monoclonal B-Cell Lymphocytosis; Healthy Volunteers; Small Lymphocytic Lymphoma",Lymphoproliferative Disorders
2255,Atrial Fibrillation; Coronary Artery Disease; Stable Angina; Stable Chronic Angina,Cardiovascular Disorders
2256,Total Hip Arthroplasty; Total Knee Arthroplasty,Total Joint Arthroplasty
2257,Ventilator Associated Pneumonia,Ventilator Associated Pneumonia
2258,Neovascular Age-related Macular Degeneration,Neovascular Age-related Macular Degeneration
2259,Ventricular Tachycardia,Ventricular Tachycardia
2260,Ulcer Hemorrhage,Ulcer Hemorrhage
2261,"Convulsion, Non-Epileptic",Non-Epileptic Seizures
2262,Heart Failure With Preserved Ejection Fraction (HFpEF),Heart Failure With Preserved Ejection Fraction (HFpEF)
2263,Graft Versus Host Disease; GVHD,Graft Versus Host Disease
2264,Colon or Upper Rectum Adenocarcinoma,Colon Adenocarcinoma
2265,Tobacco Use,Tobacco Use
2266,"Lymphoma, Large-Cell, Diffuse; Lymphoma, B-Cell","Lymphoma, Large-Cell, Diffuse; Lymphoma, B-Cell"
2267,AIDS/HIV PROBLEM,AIDS/HIV PROBLEM
2268,HIV; Tuberculosis,HIV; Tuberculosis
2269,Tobacco Use Cessation,Tobacco Use Cessation
2270,Arterial Pulmonary Hypertension (PAH),Arterial Pulmonary Hypertension (PAH)
2271,Graft Versus Host Disease; Leukemia; Myelodysplastic Syndromes; Thymic Carcinoma,Graft Versus Host Disease and Hematologic Malignancies
2272,BRAF v600 Mutated Metastatic Melanoma,BRAF v600 Mutated Metastatic Melanoma
2273,Muscular Atrophy,Muscular Atrophy
2274,Arterio-venous Fistula,Arterio-venous Fistula
2275,Heart Failure NYHA Class II,Heart Failure NYHA Class II
2276,Hematopoietic Stem Cell Transplantation; Antithymocyte Globulin; Viral Infection,Hematopoietic Stem Cell Transplantation; Antithymocyte Globulin; Viral Infection
2277,Upper Urinary Tract Urothelial Carcinoma; Nephroureterectomy; Tumor; Xenograft Model,Upper Urinary Tract Urothelial Carcinoma
2278,Arteriovenous Fistula,Arteriovenous Fistula
2279,Tooth Extraction,Tooth Extraction
2280,Tooth Extraction Status Nos; Dental Implant; Bone Augmentation; Soft Tissue Augmentation,Dental Implant with Augmentation
2281,Arteriovenous Malformations,Arteriovenous Malformations
2282,Graft vs Host Disease; Kidney Transplantation,Transplantation Complications
2283,Breast Cancer; Neoadjuvant Chemotherapy,Breast Cancer; Neoadjuvant Chemotherapy
